year, mo,    data-type, region, extent,   area
1978, 12,      Goddard,      N,  13.67,  10.90
1979, 12,      Goddard,      N,  13.34,  10.63
1980, 12,      Goddard,      N,  13.59,  10.78
1981, 12,      Goddard,      N,  13.34,  10.54
1982, 12,      Goddard,      N,  13.64,  10.88
1983, 12,      Goddard,      N,  13.30,  10.63
1984, 12,      Goddard,      N,  12.99,  10.27
1985, 12,      Goddard,      N,  13.05,  10.24
1986, 12,      Goddard,      N,  13.22,  10.53
1987, 12,        -9999,      N,  -9999,  -9999
1988, 12,      Goddard,      N,  13.63,  11.99
1989, 12,      Goddard,      N,  13.39,  11.61
1990, 12,      Goddard,      N,  13.11,  11.47
1991, 12,      Goddard,      N,  12.95,  11.19
1992, 12,      Goddard,      N,  13.41,  11.72
1993, 12,      Goddard,      N,  13.32,  11.48
1994, 12,      Goddard,      N,  13.27,  11.49
1995, 12,      Goddard,      N,  12.92,  11.09
1996, 12,      Goddard,      N,  12.86,  11.03
1997, 12,      Goddard,      N,  13.08,  11.24
1998, 12,      Goddard,      N,  12.76,  10.91
1999, 12,      Goddard,      N,  12.64,  10.99
2000, 12,      Goddard,      N,  12.64,  10.96
2001, 12,      Goddard,      N,  12.49,  10.55
2002, 12,      Goddard,      N,  12.61,  10.64
2003, 12,      Goddard,      N,  12.59,  10.80
2004, 12,      Goddard,      N,  12.55,  10.98
2005, 12,      Goddard,      N,  12.23,  10.56
2006, 12,      Goddard,      N,  11.95,  10.17
2007, 12,      Goddard,      N,  12.03,  10.18
2008, 12,      Goddard,      N,  12.36,  10.97
2009, 12,      Goddard,      N,  12.20,  10.59
2010, 12,      Goddard,      N,  11.83,  10.43
2011, 12,      Goddard,      N,  12.15,  10.63
2012, 12,      Goddard,      N,  12.01,  10.45
2013, 12,      Goddard,      N,  12.18,  10.87
2014, 12,      Goddard,      N,  12.35,  10.89
2015, 12,      Goddard,      N,  12.04,  10.64
2016, 12,      Goddard,      N,  11.46,   9.62
2017, 12,      Goddard,      N,  11.74,  10.26
2018, 12,      Goddard,      N,  11.86,  10.45
2019, 12,      Goddard,      N,  11.90,  10.52
2020, 12,      Goddard,      N,  11.73,  10.16
2021, 12,      Goddard,      N,  12.15,  10.74
2022, 12,      NRTSI-G,      N,  11.92,  10.23
